module,files,lines,implementation,test-or-story,tool-or-example,generated-or-distributed
src/api/scripts,6,542,,,6,
src/api/src,5,1345,4,1,,
src/api/src/__fixtures__,1,56,1,,,
src/api/src/apns,8,1346,4,4,,
src/api/src/audio,8,497,4,4,,
src/api/src/auth,18,2026,14,4,,
src/api/src/backup,13,2270,8,5,,
src/api/src/cloudflare,8,999,4,4,,
src/api/src/db,28,9729,13,15,,
src/api/src/display,1,39,1,,,
src/api/src/enrichment,96,18384,56,40,,
src/api/src/export,3,740,2,1,,
src/api/src/ffi,13,2426,9,4,,
src/api/src/fs,40,7572,20,20,,
src/api/src/generated,3,439,,,,3
src/api/src/handler-registry,5,546,3,2,,
src/api/src/imports,16,4430,9,7,,
src/api/src/indexer,29,5572,14,15,,
src/api/src/job-runner,18,2835,14,4,,
src/api/src/lens-profiles,5,323,4,1,,
src/api/src/library,17,4836,8,9,,
src/api/src/map,2,197,1,1,,
src/api/src/metadata,2,313,1,1,,
src/api/src/middleware,5,716,3,2,,
src/api/src/network,12,1411,7,5,,
src/api/src/observability,2,416,1,1,,
src/api/src/pano,1,131,1,,,
src/api/src/people,38,7487,22,16,,
src/api/src/presets,5,759,2,3,,
src/api/src/process,1,14,1,,,
src/api/src/render,2,149,1,1,,
src/api/src/routes,197,39380,106,91,,
src/api/src/runtime,19,1969,11,8,,
src/api/src/test-support,1,38,1,,,
src/api/src/tests,1,254,,1,,
src/api/src/thumbs,18,2511,11,7,,
src/api/src/video,8,823,5,3,,
src/api/src/workers,214,42087,112,102,,
src/api/src/xmp,10,2296,6,4,,
src/api/tests,122,24757,,122,,
src/api/tools,1,62,1,,,
src/apple/Maple,276,46111,276,,,
src/apple/Maple TV,28,4783,28,,,
src/apple/MapleBackupAgent,1,103,1,,,
src/apple/MapleFileProvider,1,8,1,,,
src/apple/MapleFileProviderIOS,1,9,1,,,
src/apple/MapleQuickLook,1,148,1,,,
src/apple/MapleTests,32,3570,1,31,,
src/apple/MapleUITests,32,5002,7,25,,
src/apple/MapleWidget,5,381,5,,,
src/apple/Packages/MapleBackup,37,5296,19,18,,
src/apple/Packages/MapleCore,821,149271,395,417,,9
src/apple/Packages/MapleUI,335,28063,235,99,,1
src/apple/ci_scripts,1,119,1,,,
src/apple/scripts,2,1000,,,2,
src/cloudflare,1,32,,1,,
src/cloudflare/scripts,1,21,,,1,
src/cloudflare/src,6,367,6,,,
src/cloudflare/ssr,8,791,3,3,2,
src/cloudflare/test,4,415,,4,,
src/maple/bin,1,8,1,,,
src/maple/dist,30,5586,,,,30
src/maple/scripts,5,651,,1,4,
src/maple/src,28,5910,28,,,
src/maple/test,16,4390,,16,,
src/raw-pipeline/codegen,20,4920,20,,,
src/raw-pipeline/maple-cli,30,6273,25,5,,
src/raw-pipeline/maple-pano,114,35454,83,31,,
src/raw-pipeline/raw-core,541,143345,372,135,34,
src/raw-pipeline/raw-ffi,92,24236,55,37,,
src/raw-pipeline/raw-gpu,153,37996,115,35,1,2
src/raw-pipeline/raw-napi,16,3076,11,5,,
src/raw-pipeline/raw-wasm,34,7429,31,3,,
src/raw-pipeline/scripts,3,436,,,3,
src/scripts,59,11787,,6,53,
src/scripts/acr-reference,6,1048,,,6,
src/web,5,170,5,,,
src/web/.storybook,2,64,2,,,
src/web/_design-reference,3,703,2,1,,
src/web/e2e,43,6066,,43,,
src/web/projects/maple,143,23829,107,36,,
src/web/projects/maple-common,1,420,1,,,
src/web/projects/maple-common/src/lib,13,818,10,3,,
src/web/projects/maple-common/src/lib/addressing,27,3277,15,12,,
src/web/projects/maple-common/src/lib/api,34,6578,18,16,,
src/web/projects/maple-common/src/lib/auth,8,1219,4,4,,
src/web/projects/maple-common/src/lib/batch-metadata,12,3435,7,5,,
src/web/projects/maple-common/src/lib/batch-rename,14,1590,12,2,,
src/web/projects/maple-common/src/lib/components,223,30168,158,65,,
src/web/projects/maple-common/src/lib/data,1,446,1,,,
src/web/projects/maple-common/src/lib/deep-link,2,230,1,1,,
src/web/projects/maple-common/src/lib/drag-move,15,1386,13,2,,
src/web/projects/maple-common/src/lib/editor,88,12902,55,33,,
src/web/projects/maple-common/src/lib/export,24,2725,19,5,,
src/web/projects/maple-common/src/lib/film,3,287,2,1,,
src/web/projects/maple-common/src/lib/folder-access,9,1775,6,3,,
src/web/projects/maple-common/src/lib/generated,12,2581,,,,12
src/web/projects/maple-common/src/lib/icons,6,1255,5,1,,
src/web/projects/maple-common/src/lib/info,18,2112,13,5,,
src/web/projects/maple-common/src/lib/lens,10,757,8,2,,
src/web/projects/maple-common/src/lib/library,10,577,8,2,,
src/web/projects/maple-common/src/lib/map,11,1197,6,5,,
src/web/projects/maple-common/src/lib/maple-cache,7,1073,5,2,,
src/web/projects/maple-common/src/lib/models,7,775,6,1,,
src/web/projects/maple-common/src/lib/network,7,714,6,1,,
src/web/projects/maple-common/src/lib/observability,5,768,4,1,,
src/web/projects/maple-common/src/lib/pano,4,884,3,1,,
src/web/projects/maple-common/src/lib/raw-pipeline,62,8582,47,15,,
src/web/projects/maple-common/src/lib/rename,3,499,2,1,,
src/web/projects/maple-common/src/lib/search,19,2345,17,2,,
src/web/projects/maple-common/src/lib/shells,55,11353,34,21,,
src/web/projects/maple-common/src/lib/state,52,9727,29,23,,
src/web/projects/maple-common/src/lib/styles,1,361,1,,,
src/web/projects/maple-common/src/lib/sw,2,275,1,1,,
src/web/projects/maple-common/src/lib/trash,24,2080,18,6,,
src/web/projects/maple-common/src/lib/ui,564,35734,393,171,,
src/web/projects/maple-common/src/lib/util,10,657,5,5,,
src/web/projects/maple-common/src/lib/workspace,7,320,5,2,,
src/web/projects/maple-common/src/lib/xmp,73,13019,31,42,,
src/web/projects/maple-syrup,44,11997,40,4,,
src/web/scripts,20,2475,,,20,
src/windows/Maple.WinUI,36,7588,36,,,
src/windows/Maple.WinUI.Tests,132,16646,5,127,,
src/windows/Maple.WinUI/Controls,2,390,2,,,
src/windows/Maple.WinUI/Converters,1,34,1,,,
src/windows/Maple.WinUI/Generated,4,467,,,,4
src/windows/Maple.WinUI/MapleUI,261,29041,261,,,
src/windows/Maple.WinUI/Models,3,497,3,,,
src/windows/Maple.WinUI/Native,7,1200,7,,,
src/windows/Maple.WinUI/Services,79,11773,79,,,
src/windows/Maple.WinUI/Themes,1,78,1,,,
src/windows/Maple.WinUI/ViewModels,33,5481,33,,,
src/windows/Maple.WinUI/Views,1,150,1,,,
src/windows/scripts,2,132,,,2,
src/windows/src,4,219,4,,,
test-fixtures,1,371,,,1,
tools,33,6368,,2,31,
